"'algoritmais, ugdyty gebejimus pritaikyti igytas zinias","'sprendziant programavimo uzduotis.","'",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès naudoti in analizuoti privalomus in papildomus mokslinès literatüros saltinius.","'Informacijos paieska, literatüros skaitymas, savarankiskas mokymasis.","'",
"'Gebès suprasti ir pritaikyti igytas bazines klasikiniu duomenu struktüry ir ju apdorojimo algoritmy zinias.","'Probleminis destymas, demonstravimas, savarankiskas mokymasis, diskusija.","'Diskusiniai klausimai.",
"'Gebès sudaryti algoritmus, duomeny struktüras, pritaikyti algoritmy teorijos zinias sprendziant programavimo uzduotis","'Probleminis destymas, pavyzdziu nagrinèjimas, programavimo uzduociu analize.","'programavimo uzduociu pristatymas in vertinimas, apklausa zodziu in rastu.",
"'Gebès dirbti savarankiskai in komandoje, planuoti in valdyti mokymosi procesa.","'Savarankiskas mokymasis, planavimas.","'",
"'Gebès suprantamai, demonstratyviai in efektyviai pristatyti informacija, idéjas in sprestinas problemas.","'Savarankiskas mokymasis, pranesimo rengimas in pristatymas.","'",
,,

'Confidence Scores % (Table Cell)
"'89.94140625","'89.94140625","'89.94140625",
"'88.52539063","'88.08593750","'87.40234375",
"'84.61914063","'84.17968750","'86.96289063",
"'88.42773438","'87.98828125","'86.96289063",
"'90.03906250","'89.59960938","'86.96289063",
"'85.40039063","'85.00976563","'86.96289063",
"'91.21093750","'90.77148438","'86.96289063",
