"'","'","'","'Kontaktinio","'","'darbo","'valandos","'","'","'Savarankisku studiju laikas ir uzduotys",
"'Temos","'","'","'Standard","'Principal","'shippers","'","'Visas","'datasse","'Uzduotys",
"'1. Algoritmo savoka algoritmo uzrasymo büdai, algoritmo realizavimo metodai, klasikiniai algoritmai.","'2","'","'","'2","'","'","'4","'4","'Literatüros analize.",
"'2. Algoritmo sudetingumas","'3","'","'","'","'","'","'3","'4","'",
"'3. Tiesinès duomenu struktüros tiesinis sarasas ir tiesinis abipusis sarasas,","'4","'","'","'2","'2","'","'8","'4","'Literatüros analize. pirmoji",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'89.35546875","'88.13476563","'88.13476563","'88.13476563","'88.13476563","'88.13476563","'88.13476563","'88.13476563","'88.03710938","'88.03710938",
"'89.35546875","'93.11523438","'93.99414063","'94.62890625","'93.99414063","'94.97070313","'93.55468750","'95.50781250","'92.28515625","'94.58007813",
"'77.88085938","'75.43945313","'76.12304688","'76.66015625","'76.12304688","'76.95312500","'75.78125000","'77.39257813","'74.80468750","'88.33007813",
"'84.27734375","'81.64062500","'82.42187500","'83.00781250","'82.42187500","'83.30078125","'82.03125000","'83.74023438","'80.95703125","'88.33007813",
"'95.36132813","'92.38281250","'93.21289063","'93.89648438","'93.21289063","'94.23828125","'92.82226563","'94.72656250","'91.55273438","'93.84765625",
