"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Programavimo uzduotys","'30","'Semestro metu","'3 programavimo uzduotys atskirai ivertinamos iki 1 balo. Is viso uz 3 programavimo uzduotis galima surinkti iki 3 baly. Kiekviena programavimo uzduotis ginama ja demonstruojant ir atsakant i pateiktus klausimus.",
"'Papildomos uzduotys","'","'Semestro metu","'U paruostus ir skaitytus pranesimus, uz atlikta kürybine programavimo uzduoti skiriama papildomai iki 2 baly.",
"'Egzaminas","'70","'Egzaminu sesijos metu","'Iki egzamino studentas turi buti susipazines su visomis kurso temomis ir privalomais literaturos saltiniais. Egzaminas vertinamas iki 7 balu, rastu atsakant i 7 klausimus. Galutinis pazymys apskaiciuojamas sudejus programavimo, papildomy uzduociu ir egzamino ivertinimus (jei suma virsija 10 baly, ivertinimas maksimalus).",
,,,

'Confidence Scores % (Table Cell)
"'93.35937500","'89.59960938","'93.35937500","'94.48242188",
"'94.33593750","'90.52734375","'94.33593750","'95.45898438",
"'84.47265625","'81.05468750","'84.47265625","'85.49804688",
"'95.01953125","'91.21093750","'95.01953125","'96.19140625",
