"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetinè nuoroda",
"'Privaloma literatüra","'","'","'","'",
"'N. L. Biggs","'2003","'Discrete mathematics","'","'New York: Oxford University Press",
"'A. Bakstys","'2007","'Skaiciavimo statistika: mokomoji knyga","'","'Siauliai: SU leidykla",
"'","'","'","'","'",
"'Papildoma literatüra","'","'","'","'",
"'S. Norgela","'2004","'Matematine logika","'","'Vilnius: TEV",
"'E. Manstavicius","'2007","'Analiziné ir tikimybine kombinatorika.","'","'Vilnius: TEV",
"'G. Valiente","'2002","'Algorithms on trees and graphs","'","'Berlin: Springer",
"'","'","'","'","'",
,,,,

'Confidence Scores % (Table Cell)
"'95.50781250","'90.38085938","'94.53125000","'92.72460938","'94.82421875",
"'64.69726563","'64.69726563","'64.69726563","'64.69726563","'64.69726563",
"'90.18554688","'85.35156250","'89.30664063","'87.54882813","'89.55078125",
"'91.50390625","'86.62109375","'90.62500000","'88.86718750","'90.86914063",
"'92.72460938","'87.74414063","'91.79687500","'89.99023438","'92.04101563",
"'74.16992188","'74.16992188","'74.16992188","'74.16992188","'74.16992188",
"'91.30859375","'86.37695313","'90.38085938","'88.62304688","'90.62500000",
"'91.30859375","'86.42578125","'90.42968750","'88.67187500","'90.67382813",
"'91.50390625","'86.62109375","'90.62500000","'88.86718750","'90.86914063",
"'92.96875000","'87.98828125","'92.04101563","'90.28320313","'92.33398438",
