"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès savarankiskai atlikti tinkamos matematinés literatüros paieska in analize, isisavinti naujas diskreciosios matematikos >inias in jas taikyti praktikoje.","'","'",
"'Gebès paaiskinti esmines diskreciosios matematikos savokas, teiginius in ismanys ju taikymo sritis","'Paskaita, praktiniai uzsièmimai","'Koliokviumas (rastu), egzaminas (rastu),",
"'Gebès sukonstruoti ziniu kûrimo in duomenu apdorojimo praktikoje kylanciu uzdaviniu matematinius modelius. juos analizuoti, parinkti in taikyti matematinius sprendimo büdus.","'(uzdaviniu sprendimas), dalykinès literatüros studijavimas.","'savarankiskai atliktu uzduociu vertinimas.",
"'Gebès taikyti matematikos zinias sprendziant duomenu tyrybos, sprendimy priemimo uzdavinius.","'","'",
,,

'Confidence Scores % (Table Cell)
"'93.60351563","'93.50585938","'93.01757813",
"'82.32421875","'78.07617188","'86.96289063",
"'82.32421875","'78.07617188","'86.96289063",
"'90.91796875","'78.07617188","'86.96289063",
"'88.72070313","'78.07617188","'86.96289063",
