"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Savarankiskas uzduociu atlikimas","'20","'Semestro metu, uzbaigus planuojamas temas","'Atliekamas savarankiskas darbas kiekviena tema. Kiekvienas darbas vertinamas 10 baly sistema, galutinis savarankisko darbo ivertinimas - gautuju ivertinimy aritmetinis vidurkis.",
"'Koliokviumas","'40","'Spalio men. pabaigoje arba lapkricio men. pradzioje","'Koliokviumas rasomas is pirmuju triju dalyko temy. Koliokviumas susideda is teorinès ir praktinés daliu. Koliokviumo darbas vertinamas 10 baly sistema. Studentai, gave nepatenkinama vertinima, gauna atitinkamy daliy klausimus galutiniame egzamine.",
"'Egzaminas","'40","'Egzaminu sesijos metu","'Egzaminas laikomas rastu. Egzaminas rasomas is paskutiniuju dvieju temy (jeigu koliokviumo darbas ivertintas teigiamai) arba is visu (gavus neigiama koliokviumo darbo ivertinima). Egzamino darbas vertinamas 10 baly sistema.",
,,,

'Confidence Scores % (Table Cell)
"'93.84765625","'90.13671875","'94.18945313","'94.77539063",
"'93.06640625","'89.40429688","'93.35937500","'93.99414063",
"'94.09179688","'90.38085938","'94.43359375","'95.01953125",
"'94.33593750","'90.62500000","'94.67773438","'95.26367188",
