"'","'","'","'","'Contact","'hours","'","'","'","'Self-study work: time and assignments",
"'Content: breakdown of the topics","'","'","'","'","'","'","'","'","'Assignments",
"'1. Overview of data mining and machine learning opportunities","'4","'","'","'","'","'","'4","'6","'Work with scientific literature",
"'2. Main statistical characteristics of the multidimensional data","'2","'","'","'","'2","'","'4","'6","'and its analysis, preparation of",
"'3. Data pre-processing","'2","'","'","'","'4","'","'6","'6","'laboratory works and their",
"'4. Dimensionality reduction methods and visualisation (direct visualisation methods; projection methods: principal components PCA, multidimensional scaling MDS, self-organizing neural networks SOM, locally linear embedding LLE)","'4","'","'","'","'4","'","'8","'19","'reports, preparation for the defence of laboratory work.",
"'5. Clustering (partitioning, hierarchical and density-based methods; estimating the number of clusters; assessing the quality of clustering)","'5","'","'","'","'6","'","'11","'14","'",
"'6. Classification (classification methods: decision trees, Bayesian classifier, linear discriminant analysis, k-nearest neighbours classifier, support vector machine; assessing the quality of a classifier; comparison of classifiers; ensemble of classifiers)","'5","'","'","'","'8","'","'13","'14","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.28906250","'91.50390625","'91.50390625","'91.50390625","'91.50390625","'91.50390625","'91.50390625","'91.50390625","'90.62500000","'90.62500000",
"'96.28906250","'93.99414063","'95.99609375","'95.65429688","'95.60546875","'96.19140625","'95.99609375","'94.04296875","'93.84765625","'95.41015625",
"'84.81445313","'82.66601563","'84.42382813","'84.13085938","'84.08203125","'84.57031250","'84.42382813","'82.71484375","'82.56835938","'66.89453125",
"'90.72265625","'88.47656250","'90.33203125","'89.99023438","'89.94140625","'90.47851563","'90.33203125","'88.52539063","'88.33007813","'66.89453125",
"'89.40429688","'87.15820313","'88.96484375","'88.67187500","'88.62304688","'89.16015625","'88.96484375","'87.20703125","'87.01171875","'66.89453125",
"'94.72656250","'92.38281250","'94.33593750","'93.99414063","'93.94531250","'94.53125000","'94.33593750","'92.43164063","'92.23632813","'66.89453125",
"'93.84765625","'91.50390625","'93.40820313","'93.06640625","'93.01757813","'93.60351563","'93.40820313","'91.55273438","'91.35742188","'66.89453125",
"'95.36132813","'92.96875000","'94.92187500","'94.62890625","'94.58007813","'95.11718750","'94.92187500","'93.01757813","'92.87109375","'66.89453125",
