"'Author","'Year of publicati on","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'M.J.Zaki, W.Meira Jr.","'2020","'Data mining and analysis. fundamental concepts and algorithms, Second Edition","'","'Cambridge University Press https://dataminingbook.info/book_html/",
"'Mohri, Mehryan ; Rostamizadeh, Afshin ; Talwalkar, Ameet","'2018","'Foundation of Machine Learning","'","'London, The MIT Press https://virtualibiblioteka.vu.lt/permalink /f/1pp6fcs/VUB01000955876 https://d1rkab7tlqy5f1.cloudfront.net/E WI/Over%20de%20faculteit/Afdelingen/D intelligent%20Systems/Pattern%20Recog nition%20Laboratory/PR/Reading%20Gr oup/Foundations_of_Machine_Learning. pdf",
"'G. Dzemyda, O. Kurasova, J. Zilinskas","'2013","'Multidimensional Data Visualization: Methods and Applications","'Springer Optimization and Its Applications, Vol. 75","'Springer https://www.researchgate.net/publicati on/266046175_Multidimensional_data_ visualization_Methods_and_applications",
"'Optional reading","'","'","'","'",
"'J. Leskovec, A. Rajaraman, J. Ullman","'2015","'Mining of Massive Datasets","'","'http://www.mmds.org/",
"'J. Han, M. Kamber, J. Pei","'2012","'Data Mining. Concepts and Techniques","'Third Edition","'Elsevier http://hanj.cs.illinois.edu/bk2/toc.pdf",
,,,,

'Confidence Scores % (Table Cell)
"'95.55664063","'90.47851563","'95.41015625","'93.75000000","'95.65429688",
"'73.09570313","'73.09570313","'73.09570313","'73.09570313","'73.09570313",
"'89.99023438","'85.20507813","'89.84375000","'88.28125000","'90.08789063",
"'94.82421875","'89.79492188","'94.67773438","'93.01757813","'94.92187500",
"'94.97070313","'89.94140625","'94.82421875","'93.16406250","'95.06835938",
"'67.04101563","'67.04101563","'67.04101563","'67.04101563","'67.04101563",
"'89.99023438","'85.20507813","'89.84375000","'88.28125000","'90.08789063",
"'92.96875000","'88.03710938","'92.87109375","'91.21093750","'93.06640625",
