"'Dalyko (modulio) tikslas: studiju","'programos ugdomos kompetencijos","'",
"'Dalyko tikslas siekiama, kad studentai igyty ziniu apie masinini mokymasi, vizualizavimo galimybemis, daugiamaciu duomeny struktüra, ugdyty praktinius metodus, ugdyty gebejima vizualiai tirti in interpretuoti duomenis, suprastu in","'duomenu tyryba ir vizualizavima, susipazintu gebejimus taikyti masininio mokymosi, analizuoty sudetingus duomenu tyrybos","'su daugiamaciu duomenu duomenu tyrybos in vizualizavimo uzdavinius.",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès parinkti ir pritaikyti ivairius duomenu vizualizavimo sprendimus, planuoti masininio mokymosi, duomeny tyrybos uzdaviniams atlikti reikiamas veiklas.","'","'",
"'Gebès atlikti literatüros, susijusios su daugiamaciu duomenu struktüru ir ju efektvviu apdorojimu paieska ir analize, isisavinti zinias in jas pritaikyti, sprendziant vizualizavimo uzdavinius.","'Pavyzdziu nagrinéjimas, literatüros","'Egzaminas, laboratoriniu darbu",
"'Gebès kritiskai ivertinti naudojamy masininio mokymosi, duomeny tyrybos in vizualizavimo algoritmy tinkamuma problemoms nasiuju skaiciavimu aplinkoje spresti.","'skaitymas in analize, savarankiskas darbas. laboratoriniu darbu atlikimas, probleminis destymas.","'vertinimas, darbas auditorijoje (diskusija).",
"'Gebès tirti duomeny dimensiskumo itaka klasifikavimo, klasterizavimo rezultatams interpretuoti gaunamus rezultatus.","'","'",
"'Gebès panaudoti esamus masininio mokymosi, duomeny tyrybos sprendimus, skirtus apdoroti didziuosius duomenis, atlikti ju statistine analize, taikyti daugiamaciu duomeny vizualizavimo algoritmus.","'","'",
,,

'Confidence Scores % (Table Cell)
"'86.66992188","'86.66992188","'86.66992188",
"'95.01953125","'95.01953125","'95.01953125",
"'88.28125000","'86.66992188","'87.30468750",
"'82.22656250","'84.37500000","'89.35546875",
"'84.96093750","'84.37500000","'89.35546875",
"'88.76953125","'84.37500000","'89.35546875",
"'86.13281250","'84.37500000","'89.35546875",
"'89.01367188","'84.37500000","'89.35546875",
