"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Laboratoriniai darbai","'50","'Semestro metu (pagal semestro pradzioje pateikta atsiskaitymu tvarkarasti)","'Studentai privalo atlikti 4 praktines uzduotis, paruosti rasto darbus (ataskaitas) in jas individualiai apginti atsakant i uzduodamus klausimas. 9-10 balai - darbas tenkina visus bütinus reikalavimus: rasto darbo struktüra aiski ir logiska, yra visos reikiamos dalys (darbo tikslas, uzdaviniai, eksperimenty vykdymo aprasas, rezultatai, isvados), darbas tinkamai suformatuotas, rezultatu analizè issami, isvados pagristos, studentas atsako i uzduotus klausimus; 7-8 balai - yra visos reikiamos rasto darbo dalys (darbo tikslas, uzdaviniai, eksperimentu vykdymo aprasas, rezultatai, isvados), taciau yra trükumy: ne visos darbo dalys tinkamai suformatuotos, yra loginiu klaidy, rezultatu analize nepakankamai issami, ne visos isvados yra pagristos, studentas atsako ne i visus uzduotus klausimus. 5-6 balai - yra ne visos bûtinos rasto darbo dalys, analize yra pavirsutiniska ir fragmentiska, ne visos isvados pagristos, yra esminiu loginiu klaidy, ne i visus esminius klausimus studentas geba atsakyti. 1-4 balai - rasto darbas blogai struktürizuotas, turi labai daug esminiu klaidy, studentas neatsako i klausimus. 0 balu - rasto darbas nèra pateiktas arba nèra apgintas. Yra laikoma, kad studentas yra atsiskaites uz darba, kai rasto darbas ikeltas i sistema ir apgintas. Pavelavus 2 savaites atsiskaityti, ivertinimas mazinamas dviem balais, 3 savaites trimis balais. Véliau darbas nebus vertinamas. Praktines uzduotis bütina atsiskaityti ne véliau kaip paskutine praktiniu uzsièmimu paskaita.",
"'Aktyvumas per paskaitas ir laboratorinius darbus (diskusija)","'10","'Kiekviena semestro savaite","'Aktyvumas kiekvieno uzsièmimo metu vertinamas iki 1 balo. Suminis vertinimas apskaiciuojamas surinkta balu skaiciu dalinant is uzsièmimu skaiciaus.",
"'Egzaminas","'40","'Egzaminu sesijos metu","'Egzamina leidziama laikyti studentams, atsiskaiciusiems visus laboratorinius darbus ir surinkusiems ne maziau kaip 2 balus semestro metu (iskaitant aktyvuma per uzsièmimus). Egzamino metu studentai atsako i 3 pateiktus klausimus.",
,,,

'Confidence Scores % (Table Cell)
"'92.18750000","'88.28125000","'91.89453125","'92.52929688",
"'90.96679688","'87.15820313","'90.72265625","'91.35742188",
"'84.03320313","'80.51757813","'83.78906250","'84.37500000",
"'93.31054688","'89.40429688","'93.01757813","'93.70117188",
