"'Purpose the course unit","'(module): programme competences to be developed","'",
"'The aim of the course unit is to develop the ability to analyse a database competences.","'management system functions, create databases,","'develop data management",
"'Learning outcomes of the course unit (module)","'Teaching and learning methods","'Assessment methods",
"'Ability to explain the concepts of databases, analyse their functional capabilities, grounding databases scope, ability to analyse the best examples of projects of information systems.","'","'",
"'Ability to analyse the subject of application domain, select appropriate database management system for the existing structure of the database development and functionality implementation, prepare documentation.","'","'",
"'Ability to choose appropriate database development methods and required implementation tools.","'Problem-based teaching,","'Exam (evaluation of answers of theoretical",
"'Ability to describe and create data structures to convey them to databases, apply networking and normalization of database structures, administrate databases, taking into account the needs of improvements.","'Example exploration, information search, study of subject literature, practical works","'questions and practical work evaluated in the 10-point system), control work, practical works.",
"'Ability to design databases CASE tools and software solutions to implement the creation of databases, select the optimal programming DBMS implementation.","'","'",
"'Ability to apply engineering techniques to modify existing programmable solutions, the development of interoperable databases, integrating multiple database management systems, ability to analyse and apply data protection measures.","'","'",
,,

'Confidence Scores % (Table Cell)
"'85.54687500","'85.54687500","'85.54687500",
"'88.52539063","'88.52539063","'88.52539063",
"'87.64648438","'87.30468750","'87.40234375",
"'74.75585938","'76.07421875","'80.17578125",
"'78.36914063","'76.07421875","'80.17578125",
"'81.25000000","'76.07421875","'80.17578125",
"'84.61914063","'76.07421875","'80.17578125",
"'83.30078125","'76.07421875","'80.17578125",
"'85.59570313","'76.07421875","'80.17578125",
