"'Author","'Year of publication","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'Michael J. Hernandez","'2013","'Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design","'","'Addison-Wesley Professional",
"'Silberschatz A., Korth H. F., Sudarshan S.","'2019","'Database System Concepts, 7th edition, McGraw-Hill","'","'McGraw-Hill Education",
"'Optional reading","'","'","'","'",
"'C.J. Date","'2012","'Database Design and Relational Theory: Normal Forms and All That Jazz","'","'O'Reilly Media",
"'Michael V. Mannino","'2005","'Database Design, Application Development, and Administration.","'","'Cengage Learning PTR",
"'Dzemydiene D., Naujikiene R.","'2006","'Informacines sistemos. Duomeny struktüros in valdymas","'","'LTU Leidybos centras",
,,,,

'Confidence Scores % (Table Cell)
"'95.26367188","'91.35742188","'95.89843750","'93.79882813","'95.06835938",
"'79.58984375","'79.58984375","'79.58984375","'79.58984375","'79.58984375",
"'94.53125000","'90.62500000","'95.11718750","'93.01757813","'94.33593750",
"'94.67773438","'90.77148438","'95.31250000","'93.21289063","'94.53125000",
"'79.49218750","'79.49218750","'79.49218750","'79.49218750","'79.49218750",
"'93.40820313","'89.55078125","'94.04296875","'91.94335938","'93.21289063",
"'91.16210938","'87.40234375","'91.74804688","'89.74609375","'90.96679688",
"'94.33593750","'90.42968750","'94.92187500","'92.87109375","'94.14062500",
