"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès paaiskinti duomenu baziu savokas, analizuoti ju funkcines galimybes, ismanys duomenu baziu taikymo sritis, gebès analizuoti informaciniu sistemy geruosius pavyzdzius.","'","'",
"'Gebès analizuoti, vertinti ir pasirinkti tinkama duomenu baziy valdymo sistema esamy duomenu baziu struktüros vystymui ir funkcionalumo naujinimui uztikrinti, rengti duomenu baziy projektus ir dokumentacijas.","'","'",
"'Gebés apdoroti duomenu bazeje saugomus duomenis, kurti naujus, agreguoti esamus, uztikrinti duomeny sauguma.","'Probleminis destymas,","'Egzaminas rastu (testas ir praktine",
"'Gebès aprasyti ir kurti duomenu lenteles, atlikti ju perkélima i kitas saugyklas, atlikti duomenu transformacijas, kurti rysius, taikyti duomenu baziu normalizavimo taisykles, vykdyti duomenu baziu administravimo darbus.","'pavyzdziu nagrinéjimas, informacijos paieska, dalykinès literatüros studijavimas, laboratoriniai darbai","'uzduotis), kontrolinis darbas (testas), kompiuteriniai praktiniai darbai.",
"'Gebés projektuoti duomenu bazes, naudoti vizualius programinius sprendimus duomenu bazems ir ju struktüroms kurti, parinkti optimalias duomenu baziy valdymo sistemy diegimo aplinkas, uztikrinti verslo taisykliu igyvendinima.","'","'",
"'Gebès taikyti atvirkstines inzinerijos metodus esamiems programiniams sprendimams modifikuoti, kuriant saveikias duomenu bazes, integruojant kelias duomenu baziy valdymo sistemas.","'","'",
,,

'Confidence Scores % (Table Cell)
"'86.08398438","'86.52343750","'86.27929688",
"'80.76171875","'65.91796875","'67.72460938",
"'72.07031250","'65.91796875","'67.72460938",
"'74.41406250","'65.91796875","'67.72460938",
"'72.85156250","'65.91796875","'67.72460938",
"'75.78125000","'65.91796875","'67.72460938",
"'80.66406250","'65.91796875","'67.72460938",
