"'","'","'","'Kontaktinio","'darbo","'","'valandos","'","'","'Savarankisku studiju laikas ir uzduotys",
"'Temos","'","'","'","'","'databa Information","'Printable","'Visas","'details","'Uzduotys",
"'1. Duomeny baziu tipai, paskirtis, funkcijos.","'2","'","'","'","'2","'","'4","'3","'Literatüros analize, nagrinètu pavyzdziu in atveju aptarimas.",
"'2. Sakinio SELECT sintakse. Duomeny is vienos lentelés isrinkimas, Eilutés funkcijos, salygos sakiniai.","'6","'","'","'","'6","'","'12","'3","'Literatüros analize, siuolaikiniu DBVS aptarimas ir palyginimas, kompiuteriniai praktiniai darbai",
"'3. Duomenu isrinkimas is keliu lenteliu. Lenteliu jungimas, duomenu grupavimas.","'4","'","'","'","'4","'","'8","'5","'Literaturos analize, kompiuteriniai praktiniai darbai.",
"'4. Nekoreliuojancios ir koreliuojancios SQL uzklausos.","'4","'","'","'","'4","'","'8","'6","'Literatüros analize, kompiuteriniai praktiniai darbai.",
"'5. Trigeriai, sekos.","'2","'","'","'","'2","'","'4","'4","'Literaturos analize, kompiuteriniai praktiniai darbai.",
"'6. Indeksavimas.","'4","'","'","'","'2","'","'6","'8","'Literatüros analizè, kompiuteriniai praktiniai darbai.",
"'7. SQL. Lenteliu struktüros kürimas. Duomeny atnaujinimas, papildymas, pasalinimas, virtualios lentelés.","'2","'","'","'","'4","'","'6","'4","'Literatüros analizè, kompiuteriniai praktiniai darbai.",
"'8. Duomeny baziu naudotojai ir saugumas.","'2","'","'","'","'2","'","'4","'4","'Literatüros analizè, kompiuteriniai praktiniai darbai.",
"'9. Duomeny baziu struktüros modeliavimas, modeliai, savokos.","'1","'","'","'","'2","'","'3","'4","'Kompiuteriniai praktiniai darbai. Duomeny bazès projektavimas. Literatüros analize.",
"'10. Reliaciniu duomeny baziu projektavimas: ER diagrama, transformavimas i reliacini modeli.","'3","'","'","'","'2","'","'5","'6","'Kompiuteriniai praktiniai darbai. Duomeny bazes projektavimas. Literatüros analize.",
"'11 Duomeny baziu normines formos, duomenu vientisumas.","'2","'","'","'","'4","'","'6","'6","'Kompiuteriniai praktiniai darbai. Duomeny bazès projektavimas. Literatüros analize.",
"'12. Pasiruosimas egzaminui.","'","'","'","'","'","'","'","'14","'Literatüros kartojimas, pasiruosimas egzaminui.",
"'Is viso","'32","'","'","'","'34","'","'66","'67","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'97.02148438","'89.40429688","'89.40429688","'89.40429688","'89.40429688","'89.40429688","'89.40429688","'89.40429688","'88.42773438","'88.42773438",
"'97.02148438","'91.45507813","'95.99609375","'91.16210938","'95.70312500","'95.60546875","'92.87109375","'96.38671875","'93.70117188","'96.09375000",
"'92.87109375","'87.25585938","'91.55273438","'86.96289063","'91.30859375","'91.21093750","'88.62304688","'91.94335938","'89.40429688","'91.65039063",
"'96.09375000","'90.28320313","'94.72656250","'89.99023438","'94.48242188","'94.38476563","'91.69921875","'95.11718750","'92.48046875","'94.82421875",
"'93.26171875","'87.59765625","'91.94335938","'87.30468750","'91.69921875","'91.60156250","'89.01367188","'92.33398438","'89.79492188","'92.04101563",
"'94.53125000","'88.81835938","'93.21289063","'88.52539063","'92.96875000","'92.87109375","'90.23437500","'93.60351563","'91.01562500","'93.31054688",
"'95.21484375","'89.45312500","'93.89648438","'89.16015625","'93.60351563","'93.50585938","'90.86914063","'94.28710938","'91.65039063","'93.99414063",
"'93.60351563","'87.93945313","'92.28515625","'87.64648438","'91.99218750","'91.89453125","'89.30664063","'92.67578125","'90.08789063","'92.38281250",
"'96.28906250","'90.42968750","'94.92187500","'90.13671875","'94.62890625","'94.53125000","'91.89453125","'95.31250000","'92.67578125","'95.01953125",
"'92.91992188","'87.30468750","'91.60156250","'87.01171875","'91.35742188","'91.25976563","'88.67187500","'91.99218750","'89.45312500","'91.69921875",
"'95.89843750","'90.08789063","'94.58007813","'89.79492188","'94.28710938","'94.18945313","'91.50390625","'94.92187500","'92.33398438","'94.62890625",
"'95.11718750","'89.35546875","'93.79882813","'89.06250000","'93.50585938","'93.40820313","'90.77148438","'94.18945313","'91.60156250","'93.89648438",
"'95.89843750","'90.08789063","'94.58007813","'89.79492188","'94.28710938","'94.18945313","'91.50390625","'94.92187500","'92.33398438","'94.62890625",
"'94.53125000","'88.81835938","'93.21289063","'88.52539063","'92.96875000","'92.87109375","'90.23437500","'93.60351563","'91.01562500","'93.31054688",
"'90.38085938","'84.91210938","'89.11132813","'84.61914063","'88.86718750","'88.76953125","'86.23046875","'89.45312500","'87.01171875","'89.20898438",
