"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Laboratoriniai darbai","'30","'Semestro metu","'Vertinami 6 laboratoriniai darbai. Visi laboratoriniai darbai vertinami 10 baly sistemoje. Atsiskaityti darbus galima tik semestro metu.",
"'Kontrolinis darbas","'20","'Semestro viduryje","'Vertinama 10 balu sistemoje. Darba sudaro 10-20 klausimy.",
"'Egzaminas (rastu)","'50","'Egzaminu sesijos metu","'Vertinama 10 baly sistemoje. Egzamina sudaro 10-20 klausimu in praktine uzduotis. Egzamino laikymas privalomas. Praktine uzduotis sudaro 40 proc. egzamino vertinimo.",
,,,

'Confidence Scores % (Table Cell)
"'94.72656250","'88.62304688","'94.58007813","'95.84960938",
"'90.57617188","'84.71679688","'90.42968750","'91.65039063",
"'89.25781250","'83.49609375","'89.11132813","'90.28320313",
"'94.92187500","'88.81835938","'94.77539063","'96.04492188",
