"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatura","'","'","'","'",
"'Rüta Ciutiene, Evelina Meilienè, Bronius Neverauskas, Vytautas Stankevicius","'2011","'Projektu valdymas","'","'KTU leidykla ""Technologija", 2011. (pateikciu rinkinys https://www.ebooks.ktu.lt/einfo/96/pro ektu-valdymas/)",
"'Marija Aukstuoliene","'2004","'Projektu valdymas ir rengimas su MS Project","'","'Vilniaus kolegija",
"'Villafiorita, Adolfo","'2014","'Introduction to Project Management","'","'Auerbach Publications",
"'Papildoma literatura","'","'","'","'",
"'Teofilo Gonzalez, Jorge Diaz- Herrera, Allen Tucker.","'2014","'Computer Science and Software Engineering","'3th. Eds.","'CRC Press",
"'Laplante, Phillip A.","'2013","'Requirements engineering for software and systems","'2th. Eds.","'CRC Press",
"'Ian Sommervill","'2015","'Software Engineering","'10th. Eds.","'Pearson",
,,,,

'Confidence Scores % (Table Cell)
"'94.23828125","'88.62304688","'94.33593750","'91.30859375","'92.77343750",
"'75.48828125","'75.48828125","'75.48828125","'75.48828125","'75.48828125",
"'95.21484375","'89.55078125","'95.31250000","'92.28515625","'93.75000000",
"'91.65039063","'86.18164063","'91.74804688","'88.81835938","'90.23437500",
"'94.77539063","'89.16015625","'94.87304688","'91.84570313","'93.31054688",
"'72.94921875","'72.94921875","'72.94921875","'72.94921875","'72.94921875",
"'93.35937500","'87.79296875","'93.45703125","'90.47851563","'91.89453125",
"'92.18750000","'86.66992188","'92.28515625","'89.30664063","'90.77148438",
"'88.03710938","'82.81250000","'88.13476563","'85.30273438","'86.66992188",
