"'Dalyko tikslas siekiama, kad studentai igyty zinias apie informaciniu valdymo ypatumais, skirtingais informaciniu sistemu kürimo projektu metodikas in irankius.","'sistemy projektu valdymo metodus, susipazintu valdymo metodais, ugdyty praktinius gebèjimus","'su projektu valdymo etapais, projektu taikyti projektu planavimo ir valdymo",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès spresti problemas valdant informaciniu sistemy kürimo","'Informacijos paieska in analize: Paskaita-","'Egzaminas, Savarankiski praktiniai darbai.",
"'projektus, organizuoti in planuoti projekto darbus.","'diskusija; Savarankiskas darbas.","'",
"'Gebès taikyti tinkama informaciniu sistemy projektu programinés irangos kürimo metodika.","'Paskaita-diskusija; Pavyzdziu demonstravimas in analizè; Savarankiskas darbas.","'Egzaminas, Savarankiski praktiniai darbai; Grupinis rasto darbas.",
"'Gebès analizuoti in parinkti tinkama projekto vykdymo modeli, taikyti informaciniu sistemy projektavimo zinias sprendziant programines irangos kürimo problemas.","'Paskaita-diskusija; Pavyzdziu demonstravimas in analize: Situaciju modeliavimas. Grupinis darbas","'Savarankiski praktiniai darbai: Pateikeiu",
"'Gebès aprasyti in kurti projekto dokumentacijoje pateiktas duomenu struktüras in duomenu bazes, jas tinkinti in atsizvelgiant poreiki siùlyti tobulinimo sprendimus.","'Paskaita-diskusija; Savarankiskas darbas; Pavyzdziu demonstravimas in analizè: Pranesimo rengimas ir pristatymas.","'rengimas in darbo pristatymas. Egzaminas",
"'Gebès projektuoti in igyvendinti programinius sprendimus, susijusius su informaciniu sistemy projektais, parinkti optimalia projektu valdymo metodika.","'Paskaita-diskusija; Pavyzdziu demonstravimas ir analizè; Praktinès uzduotys.","'Savarankiski praktiniai darbai; Grupinis rasto darbas.",
"'Gebès taikyti atvirkstines inzinerijos metodus esamiems programiniams informaciniu sistemy sprendimams statiniam ir dinaminiam modeliams modifikuoti in projektinei dokumentacijai generuoti.","'Paskaita-diskusija; Pavyzdziu demonstravimas ir analizè; Savarankiskas darbas; Grupinis darbas.","'Testavimas: Savarankiski praktiniai darbai; Grupinis rasto darbas.",
"'Gebès planuoti ir atlikti tiriamojo pobüdzio eksperimentus, tiriant informaciniu sistemy projektu valdymo metody pritaikomuma, vertinti rezultatus, jais remiantis daryti isvadas.","'Informacijos paieska in analizè; Praktinis darbas: Situaciju modeliavimas: Pranesimo rengimas in pristatymas.","'Savarankiski praktiniai darbai: Pateikiu rengimas in darbo pristatymas. Egzaminas.",
,,

'Confidence Scores % (Table Cell)
"'89.50195313","'89.50195313","'89.50195313",
"'87.50000000","'87.54882813","'87.01171875",
"'94.04296875","'92.82226563","'55.95703125",
"'94.04296875","'92.82226563","'85.79101563",
"'88.81835938","'88.86718750","'85.79101563",
"'86.71875000","'86.76757813","'81.68945313",
"'84.86328125","'84.91210938","'81.68945313",
"'86.57226563","'86.62109375","'86.08398438",
"'91.40625000","'91.45507813","'90.91796875",
"'92.91992188","'92.91992188","'92.38281250",
