"'","'","'","'Kontaktinio","'darbo","'valandos","'","'","'","'Savarankisku studiju laikas ir uzduotys",
"'Temos","'","'","'","'Printer","'larida","'","'Visas","'alaras","'Uduotys",
"'1. Ivadas. Projekto apibrezimas, problemy analize. Projektu strateginè reiksme imonés valdymui. Projekto vykdymo etapai. Projektu valdymo problemos. Informacinés sistemos projekto verslo. funkciniu in techniniu reikalavimu nustatymas ir surinkimas. Projekto inicijavimas. Projektu valdymo irankiai.","'4","'","'","'","'2","'","'6","'8","'Literatüros paieska in analize.",
"'2. Projektu planavimas. Projekto laiko, kainos in apimties ivertinimas. Projekto plano kürimas in pildymas. Istekliy poreikio nustatymas. Projekto komandos subürimas. Projekto biudzeto planavimas. Riziku plano rengimas.","'6","'","'","'","'2","'","'8","'15","'Literatüros paieska in analize; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'90.91796875","'89.84375000","'89.84375000","'89.84375000","'89.84375000","'89.84375000","'89.84375000","'89.84375000","'88.76953125","'88.76953125",
"'90.91796875","'91.30859375","'94.09179688","'94.23828125","'93.35937500","'94.33593750","'94.58007813","'93.94531250","'91.65039063","'93.60351563",
"'94.48242188","'90.72265625","'93.45703125","'93.60351563","'92.77343750","'93.70117188","'93.94531250","'93.31054688","'91.06445313","'93.01757813",
"'95.41015625","'91.65039063","'94.43359375","'94.53125000","'93.70117188","'94.62890625","'94.87304688","'94.28710938","'91.99218750","'93.94531250",
