"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Savarankiski praktiniai darbai","'40","'semestro metu","'Vertinami sie darbo aspektai: darbo struktüra: 2 balai rasto darbo struktüra aiski ir logiska, yra visos reikiamos dalys (darbo tikslas, uzdaviniai, eksperimentu vykdymo aprasas, rezultatai, isvados), darbas tinkami suformatuotas, 1 balas nèra visu bütiny darbo daliy, 0 baly rasto darbas netenkina nustatyty minimaliu reikalavimy; rezultatai, ju analizè ir isvados: 2 balai rezultatu analizè issami, isvados pagristos, 1 balas analizè atlikta, bet néra issami, ne visos isvados pagristos, 0 baly analize atlikta pavirsutiniskai ir fragmentiskai, néra isvady; Ivertinimas nepateikus rasto darbo 0 baly.",
"'Grupiniu rasto darby pristatymas ir gynimas","'20","'semestro metu","'Vertinami sie darbo aspektai: darbo pristatymas: 1 balas nuoseklus, argumentuotas in logiskas, akcentuojami svarbiausi darbo aspektai, 0,5 balo nèra akcentuojami svarbiausi darbo aspektai, atsakymai i uzduodamus klausimus: 1 balas issamüs ir argumentuoti, 0,5 balo argumentuoti, bet nèra issamüs. Ivertinimas laiku nepristacius darbo 0 baly.",
"'Egzaminas","'40","'Egzaminy sesijos metu","'Testa sudaro 50 atvirojo ir uzdarojo tipo klausimu. 4 balai labai geros zinios ir gebejimai. 42-50 teisingu atsakymy, 3 balai vidutinés zinios ir gebejimai, yra klaidy. 32-41 teisingi atsakymai; 2 balai zinios ir gebejimai nesiekia vidutiniy, yra esminiu klaidy. 22-31 teisingi atsakymai; 1 balas zinios ir gebejimai dar patenkina minimalius reikalavimus, taciau daug klaidy. 11-21 teisingu atsakymu; 0 baly nepatenkinami minimalüs reikalavimai. 0-10 teisingi atsakymai.",
,,,

'Confidence Scores % (Table Cell)
"'87.64648438","'85.74218750","'87.89062500","'88.08593750",
"'92.04101563","'90.03906250","'92.33398438","'92.52929688",
"'88.28125000","'86.37695313","'88.57421875","'88.72070313",
"'92.48046875","'90.47851563","'92.72460938","'92.91992188",
