"'Dalyko tikslas yra supazindinti studentus su kompiuteriu","'architektüra ir ju","'funkcionavimo principais.",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Suvokti kompiuteriu architektüros pagrindus ir ju funkcionavimo principus bei paaiskinti ju taikyma praktinéje veikloje. Suprasti ir gebèti paaiskinti pagrindiniu kompiuterio itaisy (procesoriu, atminties, ivedimo ir isvedimo irenginiu) struktüra ir veikimo principus. Taip pat suprasti kompiuteriniu sistemy nasumo metrikas.","'Paskaitos Literatüros analizè Praktiniu uzduociu sprendimas Pranesimy rengimas","'Teorinis atsiskaitymas (su atvirojo ir uzdarojo tipo klausimais) Praktinès uzduotys Studento pranesimas pasirinkta tema",
"'Suprasti informacijos kodavimo principus. Studijuojant kompiuteriu aritmetika ismokti atlikti ivairias matematines operacijas skirtingose skaiciavimo sistemose, taip pat taikyti loginius elementus ir operacijas su jais. Isisavinti tekstinés, grafinés, garsinès ir video informacijos kodavimo principus.","'Paskaitos Literatüros analizè Praktiniu uzduociu sprendimas","'Teorinis atsiskaitymas (su atvirojo in uzdarojo tipo klausimais) Praktinès uzduotys",
"'Suprasti sistemy integracijos principus bei gebèti taikyti sprendimus ivairiu problemy sprendimui.","'Paskaitos Praktiniu uzduociu sprendimas","'Teorinis atsiskaitymas (su atvirojo ir uzdarojo tipo klausimais) Praktinés uzduotys",
"'Susipazinti su pagrindiniais operaciniu sistemy sandaros bei veikimo principais, ismokti apibüdinti ir paaiskinti operacinése sistemose naudojamas procesu, atminties, ivedimo-isvedimo, faily sistemos valdymo funkcijas bei jas realizuojancius algoritmus. Suprasti MS Windows, UNIX ir Apple os X operaciniu sistemy veikimo principus.","'Paskaitos Literatüros analizè Praktiniu uzduociu sprendimas Pranesimy rengimas","'Teorinis atsiskaitymas (su atvirojo ir uzdarojo tipo klausimais) Praktinès uzduotys Studento pranesimas pasirinkta tema",
"'Sugebeti paaiskinti paskirstytu sistemy architektüra ir veikimo principus, mokéti projektuoti ir igyvendinti algoritmus daugiaprocesorinèse sistemose.","'Paskaitos Praktiniu uzduociu sprendimas Pranesimy rengimas","'Teorinis atsiskaitymas (su atvirojo in uzdarojo tipo klausimais) Praktinès uzduotys Studento pranesimas pasirinkta tema",
,,

'Confidence Scores % (Table Cell)
"'89.99023438","'89.99023438","'89.99023438",
"'85.79101563","'83.93554688","'85.83984375",
"'96.24023438","'94.18945313","'96.33789063",
"'96.72851563","'94.62890625","'96.82617188",
"'91.60156250","'89.64843750","'91.69921875",
"'96.58203125","'94.48242188","'96.67968750",
"'96.72851563","'94.62890625","'96.82617188",
