"'Vertinimo strategija","'Svoris proc.","'Atsiskaity mo laikas","'Vertinimo kriterijai",
"'Praktines uzduotys (U)","'30%","'>5 kartus per semestra","'Auditorijoje naudojant kompiuterius atliekamos praktines uzduotys pagal destytojo pateiktus nurodymus. Kiekvienas darbas vertinamas pazymiu desimties balu skaleje. Gale semestro skaiciuojamas vertinimy vidurkis.",
"'Savarankiskas pranesimas pasirinkta tema (P)","'10%","'Nustatytu laiku","'Kiekvienas studentas pristato pranesima pasirinkta tema (pasiulyta destytojo arba pasirinkta savarankiskai). Pranesimas vertinamas pazymiu desimties baly skaleje.",
"'Koliokviumas (K)","'25%","'10 savaite","'Koliokviuma sudaro skirtingo sudetingumo atvirojo ir uzdarojo tipo klausimai is teorinès kurso medziagos isnagrinétos iki koliokviumo datos. Vertinama pazymiu desimties balu skaleje proporcingai teisingai atsakytu klausimu kiekiui.",
"'Egzaminas (E)","'35%","'Sesijos metu","'Egzamina sudaro skirtingo sudetingumo atvirojo ir uzdarojo tipo teoriniai klausimai bei praktinés uzduotys is viso kurso medziagos. Vertinama pazymiu desimties baly skaleje proporcingai teisingai atsakyty klausimu kiekiui.",
,,,

'Confidence Scores % (Table Cell)
"'92.77343750","'89.74609375","'91.94335938","'92.77343750",
"'94.77539063","'91.69921875","'93.99414063","'94.77539063",
"'92.62695313","'89.59960938","'91.79687500","'92.62695313",
"'93.70117188","'90.67382813","'92.91992188","'93.70117188",
"'94.62890625","'91.50390625","'93.79882813","'94.62890625",
