"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privalomoji literatüra","'","'","'","'",
"'Stallings W.","'2019","'Computer Organization and Architecture: Designing for Performance","'","'Boston: Pearson",
"'Englander, Irv","'2014","'The Architecture of Computer Hardware and System Software: An Information Technology Approach, 5th Edition","'","'New York: Wiley",
"'Urbanavicius, Vytautas","'2007","'Kompiuteriai ir ju architektüra","'","'Vilnius : Technika",
"'Papildoma literatüra","'","'","'","'",
"'Winkler, Joachim R.","'2011","'Securing the cloud: cloud computer security techniques and tactics","'","'Amsterdam: Elsevier",
"'Portnoy, M.","'2012","'Virtualization essentials","'","'Indianapolis: J. Wiley & Sons",
"'Tarnoff, David L.","'2007","'Computer Organization and Design Fundamentals","'","'Interaktyvus: http://faculty.etsu.edu/tarn off/ntes2150.html",
,,,,

'Confidence Scores % (Table Cell)
"'94.72656250","'90.33203125","'94.72656250","'93.60351563","'94.28710938",
"'81.00585938","'81.00585938","'81.00585938","'81.00585938","'81.00585938",
"'93.79882813","'89.45312500","'93.79882813","'92.67578125","'93.31054688",
"'95.11718750","'90.72265625","'95.11718750","'93.99414063","'94.62890625",
"'94.14062500","'89.74609375","'94.14062500","'93.01757813","'93.65234375",
"'82.27539063","'82.27539063","'82.27539063","'82.27539063","'82.27539063",
"'94.62890625","'90.23437500","'94.62890625","'93.50585938","'94.18945313",
"'91.60156250","'87.35351563","'91.60156250","'90.47851563","'91.16210938",
"'94.77539063","'90.38085938","'94.77539063","'93.65234375","'94.33593750",
