"'Author","'Year of publication","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'Bjarne Stroustrup","'2022","'A Tour of C++","'Third Edition","'Addison-Wesley Professional; https://www.stroustrup.com/tour3.h tml",
"'Bjarne Stroustrup","'2014","'Programming: Principles and Practice Using C++","'2nd Edition","'Addison-Wesley, http://www.stroustrup.com/progr amming.html",
"'Stanley Lippman, Josée Lajoie, and Barbara E. Moo","'2012","'C++ Primer","'5th Edition","'Addison-Wesley, http://www.informit.com/store/c- plus-plus-primer-9780321714114",
"'Bjarne Stroustrup","'2013","'The C++ Programming Language","'4th Edition","'Addison-Wesley, http://www.stroustrup.com/4th.ht ml",
"'Optional reading","'","'","'","'",
"'Nicolai Josuttis","'2012","'C++ Standard Library Tutorial and Reference","'2nd Edition","'Addison Wesley Longman, http://cppstdlib.com/",
"'Anthony Williams","'2012","'C++ Concurrency in Action: Practical Multithreading","'","'Manning Publications Co",
"'Scott Meyers","'2014","'Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14","'","'O'Reilly, http://shop.oreilly.com/product/0 636920033707.do",
"'Scott Meyers","'2005","'Effective C++: 55 Specific Ways to Improve Your Programs and Designs","'3rd Edition","'Addison-Wesley, http://www.aristeia.com/books.ht ml",
"'Scott Meyers","'2001","'Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library","'","'Addison-Wesley, http://www.aristeia.com/books.ht ml",
"'Herb Sutter","'1999","'Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions","'","'http://www.gotw.ca/publications/ xc++.htm",
"'Andrew Koenig and Barbara Moo","'2000","'Accelerated C++: Practical Programming by Example","'","'Addison-Wesley, http://www.informit.com/store/ac celerated-c-plus-plus-practical- programming-by-example- 9780201703535",
,,,,

'Confidence Scores % (Table Cell)
"'96.43554688","'93.11523438","'96.58203125","'95.94726563","'95.50781250",
"'79.39453125","'79.39453125","'79.39453125","'79.39453125","'79.39453125",
"'95.01953125","'91.74804688","'95.16601563","'94.58007813","'94.14062500",
"'94.04296875","'90.77148438","'94.18945313","'93.55468750","'93.11523438",
"'93.65234375","'90.42968750","'93.79882813","'93.16406250","'92.77343750",
"'95.94726563","'92.62695313","'96.09375000","'95.45898438","'95.01953125",
"'83.54492188","'83.54492188","'83.54492188","'83.54492188","'83.54492188",
"'93.21289063","'89.99023438","'93.35937500","'92.77343750","'92.33398438",
"'94.62890625","'91.40625000","'94.77539063","'94.18945313","'93.75000000",
"'95.16601563","'91.89453125","'95.31250000","'94.67773438","'94.28710938",
"'94.04296875","'90.77148438","'94.18945313","'93.55468750","'93.11523438",
"'93.45703125","'90.23437500","'93.60351563","'92.96875000","'92.57812500",
"'93.70117188","'90.47851563","'93.84765625","'93.21289063","'92.82226563",
"'96.09375000","'92.77343750","'96.24023438","'95.60546875","'95.16601563",
