"'objektiskai orientuotas programas.","'","'",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès naudoti kolektyvinio ir kodo versijavimo sistemas atliekant objektinio programavimo uzduotis.","'","'",
"'Gebès paaiskinti objektinio programavimo savokas, ismanys ju taikymo sritis.","'","'",
"'Gebès ivertinti objektiskai orientuotos programinés irangos kürimo tikslus, taikyti automatinius programinio kodo dokumentavimo irankius.","'","'",
"'Gebès taikyti pagrindinius objektinio programavimo architektürinio stiliaus principus uzduociu sprendime.","'Probleminis destymas, diskusija, pavyzdziu analizè, literatüros analizè,","'Laboratoriniu darby atlikimas bei rezultatu gynimas, egzaminas rastu (atvirojo,",
"'Gebès parinkti efektyvius algoritmus in i sparta orientuotas (priklausomai nuo uzdavinio specifikos) duomenu struktüras, pritaikyti objektiskai orientuoty sistemy projektavimo ir igyvendinimo zinias sprendziant uzduotis.","'laboratoriniu uzduociu atlikimas.","'pusiau atvirojo bei uzdarojo tipo klausimai in uzduotys).",
"'Gebès naudoti daugiagijinéms sistemoms pritaikytus programinés irangos derinimo metodus.","'","'",
"'Gebès kurti objektiskai orientuotus programinius sprendimus, pritaikytus didziuju duomenu analitikos uzdaviniams spresti.","'","'",
,,

'Confidence Scores % (Table Cell)
"'83.05664063","'83.05664063","'83.05664063",
"'87.15820313","'86.86523438","'86.32812500",
"'75.14648438","'85.83984375","'88.86718750",
"'77.53906250","'85.83984375","'88.86718750",
"'76.17187500","'85.83984375","'88.86718750",
"'82.66601563","'85.83984375","'88.86718750",
"'90.91796875","'85.83984375","'88.86718750",
"'85.25390625","'85.83984375","'88.86718750",
"'85.25390625","'85.83984375","'88.86718750",
