"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Pirmasis laboratorinis darbas","'20","'Semestro metu","'Studentams skiriamos individualios uzduotys, apimancios 1-3 temas. Maksimalus ivertinimas puikiai atliktas uzduotis yra 10 baly (atitinkantys 20% bendrojo svorio). Skiriami papildomi balai (iki 20 % maksimalaus ivercio svorio), jei uzduotys atsiskaitomos anksciau nurodyto termino. Analogiskai, veluojant atsiskaityti galutinis ivertinimas yra mazinamas (iki 20% maksimalaus ivercio svorio).",
"'Antrasis laboratorinis darbas","'20","'Semestro metu","'Studentams skiriamos individualios uzduotys, apimancios 4-6 temas. Maksimalus ivertinimas uz puikiai atliktas uzduotis yra 10 baly (atitinkantys 20% bendrojo svorio). Skiriami papildomi balai (iki 20 % maksimalaus ivercio svorio), jei uzduotys atsiskaitomos anksciau nurodyto termino. Analogiskai, vèluojant atsiskaityti galutinis ivertinimas yra mazinamas (iki 20% maksimalaus ivercio svorio).",
"'Treciasis laboratorinis darbas","'20","'Semestro metu","'Studentams skiriamos individualios uzduotys, apimancios 7-9 temas. Maksimalus ivertinimas uz puikiai atliktas uzduotis yra 10 baly (atitinkantys 20% bendrojo svorio). Skiriami papildomi balai (iki 20 % maksimalaus ivercio svorio), jei uzduotys atsiskaitomos anksciau nurodyto termino. Analogiskai, vèluojant atsiskaityti galutinis ivertinimas yra mazinamas (iki 20 % maksimalaus ivercio svorio).",
"'Egzaminas (rastu)","'40","'Egzaminu sesijos metu","'Egzamina laikyti leidziama semestro metu surinkus ne maziau 7.5 baly skaiciu, atitinkanti 25% laboratoriniams darbams skirtojo svorio. Egzamino metu galima surinkti iki 10 tasky, kurie atitinka 40% galutinio ivertinimo. Egzaminas susideda is dvieju etapy. Pirmiausia, studentas turi atsakyti i klausimus is paskaitose pateiktu temy (iki 2 tasku). Antroje egzamino dalyje studentas turi pateikti praktini pateiktos problemos sprendima C++ kalboje (iki 8 tasku), motyvuojant naudojamy priemoniu efektyvuma bei analizuojant alternatyvius uzduoties sprendimo büdus.",
,,,

'Confidence Scores % (Table Cell)
"'92.77343750","'90.08789063","'92.62695313","'93.45703125",
"'95.16601563","'92.43164063","'94.97070313","'95.84960938",
"'94.58007813","'91.84570313","'94.43359375","'95.26367188",
"'92.62695313","'89.94140625","'92.48046875","'93.31054688",
"'95.41015625","'92.62695313","'95.21484375","'96.09375000",
