"'Autorius","'Leidim o metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatura","'","'","'","'",
"'J. Blonskis ir kt.","'2005","'Programavimas C++","'","'Kaunas. Technologija",
"'J. Blonskis ir kt.","'1999","'Programavimas","'","'Kaunas. Technologija",
"'A. Matulis","'2005","'C, C++, OOP: mokomés programuoti","'","'Vilnius. Ciklonas",
"'Papildoma literatura","'","'","'","'",
"'B. Eckel","'","'Thinking in C++","'","'http://www.drbio.cornell.edu/p147/pro gramming/TICPP-2nd-ed-Vol-one- html/Frames.html",
,,,,

'Confidence Scores % (Table Cell)
"'95.80078125","'90.47851563","'95.41015625","'93.60351563","'95.45898438",
"'69.28710938","'69.28710938","'69.28710938","'69.28710938","'69.28710938",
"'90.03906250","'85.05859375","'89.69726563","'88.03710938","'89.74609375",
"'89.84375000","'84.91210938","'89.50195313","'87.84179688","'89.55078125",
"'91.89453125","'86.81640625","'91.55273438","'89.84375000","'91.60156250",
"'67.82226563","'67.82226563","'67.82226563","'67.82226563","'67.82226563",
"'94.58007813","'89.35546875","'94.18945313","'92.43164063","'94.23828125",
