"'Dalyko (modulio) tikslas:","'studiju programos ugdomos kompetencijos","'",
"'Dalyko tikslas siekiama, kad studentai susipazintu su procedürinio pagrindinèmis valdymo struktüromis, ugdyty praktinius gebèjimus","'programavimo principais, programy struktüra, programuoti pagal procedürinio programavimo","'baziniais duomenu tipais bei paradigma",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Gebès naudoti kolektyvinio darbo sistemas programavimo darbams atlikti in ju kontrolei vykdyti.","'","'",
"'Gebès taikyti procedürinio programavimo principus uzduotims spresti","'","'",
"'Gebès sudaryti problemy sprendimo algoritmus, atlikti algoritmy sudedamuju komponentu analize, planuoti algoritmy igyvendinimo darbus.","'Informacijos paieska, demonstravimas, diskusija, situaciju modeliavimas.","'Savarankiski darbai, koliokviumas, egzaminas (teoriniai klausimai in",
"'Gebès aprasyti ir programose naudoti struktürinius duomenis, isnaudoti tiesiogines atminties adresacijos privalumus.","'pavyzdziu analize.","'uzdavinio sprendimas).",
"'Gebès igyvendinti algoritmus taikant procedürinio programavimo paradigma pasirinktoje programavimo kalboje.","'","'",
,,

'Confidence Scores % (Table Cell)
"'65.13671875","'65.13671875","'65.13671875",
"'90.47851563","'90.47851563","'90.47851563",
"'86.71875000","'87.35351563","'87.20703125",
"'69.14062500","'78.22265625","'88.13476563",
"'73.63281250","'78.22265625","'88.13476563",
"'83.54492188","'78.22265625","'88.13476563",
"'84.57031250","'78.22265625","'88.13476563",
"'79.78515625","'78.22265625","'88.13476563",
