"'","'","'","'Kontaktinio","'darbo","'valandos","'","'","'","'Savarankisku studiju laikas in uzduotys",
"'Temos","'","'","'Santander","'","'datada","'Printelle","'Visas datans","'datifos","'Uzduotys",
"'1. Programavimo samprata. C++ programos struktüra, kompiliatorius, linker'is, debuger'is in IDE. Kompiliavimo véliavèlés","'2","'","'","'","'2","'","'4","'2","'",
"'2. Kintamieji, ju vieta atmintyje, rodykles i kintamuosius. Operatoriai, duomenu ivedimas in isvedimas","'2","'","'","'","'2","'","'4","'2","'",
"'3. Salyginès struktüros ir ciklai. Duomenu masyvai","'2","'","'","'","'2","'","'4","'2","'",
"'4. Funkcijos","'2","'","'","'","'2","'","'4","'2","'Individualus literatüros",
"'5. Darbas su failais","'2","'","'","'","'2","'","'4","'2","'skaitymas in analize, Literatüros analize.",
"'6. Data ir laikas","'2","'","'","'","'2","'","'4","'4","'uzdaviniu sprendimas, pasiruosimas koliokviumams",
"'7. Atsitiktiniu skaiciu generavimas","'2","'","'","'","'2","'","'4","'6","'",
"'8. Dinamine atmintis","'4","'","'","'","'4","'","'8","'6","'",
"'9. Duomeny struktüros in isvestinis duomenu tipas, sujungtas sarasas","'4","'","'","'","'4","'","'8","'6","'",
"'10. Rodykles i funkcijas in ismaniosios (smart) rodykles","'2","'","'","'","'2","'","'4","'4","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.14257813","'90.82031250","'90.82031250","'90.82031250","'90.82031250","'90.82031250","'90.82031250","'90.82031250","'87.35351563","'87.35351563",
"'96.14257813","'93.94531250","'95.60546875","'95.60546875","'94.38476563","'95.16601563","'92.18750000","'95.55664063","'91.01562500","'95.26367188",
"'91.50390625","'89.40429688","'90.96679688","'90.96679688","'89.79492188","'90.52734375","'87.69531250","'90.91796875","'86.62109375","'75.78125000",
"'91.69921875","'89.59960938","'91.16210938","'91.16210938","'89.99023438","'90.72265625","'87.89062500","'91.11328125","'86.76757813","'75.78125000",
"'91.99218750","'89.84375000","'91.40625000","'91.40625000","'90.28320313","'91.01562500","'88.18359375","'91.35742188","'87.06054688","'75.78125000",
"'92.38281250","'90.23437500","'91.79687500","'91.79687500","'90.67382813","'91.40625000","'88.52539063","'91.74804688","'87.40234375","'75.78125000",
"'93.01757813","'90.86914063","'92.48046875","'92.48046875","'91.30859375","'92.04101563","'89.16015625","'92.43164063","'88.03710938","'75.78125000",
"'91.99218750","'89.84375000","'91.40625000","'91.40625000","'90.28320313","'91.01562500","'88.18359375","'91.35742188","'87.06054688","'75.78125000",
"'91.99218750","'89.84375000","'91.40625000","'91.40625000","'90.28320313","'91.01562500","'88.18359375","'91.35742188","'87.06054688","'75.78125000",
"'92.77343750","'90.67382813","'92.23632813","'92.23632813","'91.06445313","'91.79687500","'88.96484375","'92.18750000","'87.84179688","'75.78125000",
"'93.11523438","'90.96679688","'92.57812500","'92.57812500","'91.40625000","'92.13867188","'89.25781250","'92.52929688","'88.13476563","'75.78125000",
"'94.23828125","'92.04101563","'93.65234375","'93.65234375","'92.48046875","'93.21289063","'90.33203125","'93.60351563","'89.20898438","'75.78125000",
