"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Koliokviumas","'20","'8 sav.","'Teoriniu ziniu isisavinimas (50%) atsakinejant i uzdarus klausimus, gebejimas jas taikyti sprendziant praktinius uzdavinius (50%).",
"'Savarankiski darbai","'30","'5, 11, 16 sav.","'Uduoties atlikimas (50 %) ir gebejimas apginti savarankiskai atlikta darba (50%).",
"'Egzaminas","'50","'Egzaminu sesijos metu","'Teoriniu ziniy isisavinimas (50%) atsakinejant i uzdarus klausimus, gebejimas jas taikyti sprendziant praktinius uzdavinius (50 %).",
,,,

'Confidence Scores % (Table Cell)
"'93.99414063","'87.30468750","'93.21289063","'94.87304688",
"'91.45507813","'84.91210938","'90.72265625","'92.33398438",
"'91.50390625","'84.96093750","'90.77148438","'92.38281250",
"'94.14062500","'87.40234375","'93.35937500","'95.01953125",
