"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatüra","'","'","'","'",
"'Horowitz and Hill","'2015","'The Art of Electronics 3rd Edition","'ISBN-13:978- 0521809269","'Cambridge University Press",
"'Papildoma literatura","'","'","'","'",
"'Jody Culkin","'2017","'Make: learn electronics with Arduino","'9-781-68045-374-4","'USA",
"'William P. Osborne","'2017","'Learn to Program in Arduino C. 18 Lessons, From setup() to Robots","'978-0-9981287-1-9","'CreateSpace",
"'","'","'","'","'Arduino.cc, Instructables.com, hackaday.io",
,,,,

'Confidence Scores % (Table Cell)
"'92.33398438","'87.45117188","'93.26171875","'91.06445313","'92.87109375",
"'73.09570313","'73.09570313","'73.09570313","'73.09570313","'73.09570313",
"'93.45703125","'88.52539063","'94.43359375","'92.18750000","'93.99414063",
"'77.09960938","'77.09960938","'77.09960938","'77.09960938","'77.09960938",
"'92.28515625","'87.40234375","'93.21289063","'91.01562500","'92.82226563",
"'91.69921875","'86.81640625","'92.62695313","'90.42968750","'92.18750000",
"'89.45312500","'84.71679688","'90.33203125","'88.18359375","'89.94140625",
