"'Dalyko tikslas: suteikti studentams bazines elektronikos zinias, irangos projektavimo in kürimo igüdzius.","'supazindinti su robotika. jos veikimo in","'programavimo principais, suteikti praktinius robotinès",
"'Dalyko (modulio) studiju siekiniai","'Studiju metodai","'Vertinimo metodai",
"'Zinios ir ju taikymas. Bazines elektronikos inzinerijos zinios, leidziancios suvokti esminius robotikos principus in terminus, paaiskinti juos.","'Paskaitos","'",
"'Specialieji gebèjimai: Gebejimas analizuoti ivairius daiktu interneto, robotikos sprendimus, juos modifikuoti atnaujinimo, vystymo tikslais. Mikrovaldikliu programavimo igüdziai, leidziantys kurti ivairius daiktu interneto, robotikos sisteminius sprendimus ir taikymus.","'Laboratoriniai darbai","'Teorinés zinios vertinamos egzaminu. Praktiniai igüdziai vertinami laboratoriniu darby metu atliekant uzduotis in parengiant bei pristatant ataskaitas.",
,,

'Confidence Scores % (Table Cell)
"'92.38281250","'92.38281250","'92.38281250",
"'85.54687500","'85.00976563","'86.03515625",
"'75.29296875","'74.85351563","'67.82226563",
"'89.25781250","'88.72070313","'67.82226563",
