"'Author","'Year of publication","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'Horowitz and Hill","'2015","'The Art of Electronics 3rd Edition","'ISBN-13:978- 0521809269","'Cambridge University Press",
"'Optional reading","'","'","'","'",
"'Jody Culkin","'2017","'Make: learn electronics with Arduino","'9-781-68045-374-4","'USA",
"'William P. Osborne","'2017","'Learn to Program in Arduino C. 18 Lessons, From setup() to Robots","'978-0-9981287-1-9","'CreateSpace",
"'","'","'","'","'Arduino.cc, Instructables.com, hackaday.id",
,,,,

'Confidence Scores % (Table Cell)
"'91.94335938","'87.93945313","'93.45703125","'91.89453125","'93.06640625",
"'73.92578125","'73.92578125","'73.92578125","'73.92578125","'73.92578125",
"'93.55468750","'89.45312500","'95.06835938","'93.50585938","'94.62890625",
"'72.11914063","'72.11914063","'72.11914063","'72.11914063","'72.11914063",
"'89.55078125","'85.59570313","'91.01562500","'89.50195313","'90.57617188",
"'92.08984375","'88.03710938","'93.60351563","'92.04101563","'93.16406250",
"'89.94140625","'85.98632813","'91.45507813","'89.89257813","'91.01562500",
